s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 5.6017673E+001, 5.7351323E+001, 4.3680614E+001, 1.3175481E+001, 8.5559006E-002, 4.0879779E-001, 1.7110129E-004, 3.7642283E-004, 0.0000000E+000, 0.0000000E+000, 3.2348054E-004, 5.7082738E+001, 3.2348054E-004, 2.6826152E-001
 5.7008141E+001, 5.7351677E+001, 4.3680614E+001, 1.3174192E+001, 8.6707876E-002, 4.0930596E-001, 1.7490531E-004, 3.8479169E-004, 0.0000000E+000, 0.0000000E+000, 2.9742506E-004, 5.7077154E+001, 2.9742506E-004, 2.7422567E-001
 5.8009609E+001, 5.7352030E+001, 4.3680614E+001, 1.3173167E+001, 8.7621703E-002, 4.0971016E-001, 1.7793109E-004, 3.9144840E-004, 0.0000000E+000, 0.0000000E+000, 3.4769423E-004, 5.7072713E+001, 3.4769423E-004, 2.7896965E-001
 5.9018841E+001, 5.7352384E+001, 4.3680614E+001, 1.3172100E+001, 8.8572614E-002, 4.1013077E-001, 1.8107966E-004, 3.9837525E-004, 0.0000000E+000, 0.0000000E+000, 3.8634599E-004, 5.7068091E+001, 3.8634599E-004, 2.8390614E-001
 6.0001465E+001, 5.7352731E+001, 4.3680614E+001, 1.3170718E+001, 8.9805289E-002, 4.1067600E-001, 1.8516118E-004, 4.0735459E-004, 0.0000000E+000, 0.0000000E+000, 3.2539031E-004, 5.7062100E+001, 3.2539031E-004, 2.9030535E-001
 6.1014297E+001, 5.7353077E+001, 4.3680614E+001, 1.3169532E+001, 9.0862245E-002, 4.1114351E-001, 1.8866087E-004, 4.1505391E-004, 0.0000000E+000, 0.0000000E+000, 3.2179928E-004, 5.7056963E+001, 3.2179928E-004, 2.9579235E-001
 6.2017353E+001, 5.7353425E+001, 4.3680614E+001, 1.3168309E+001, 9.1951993E-002, 4.1162553E-001, 1.9226914E-004, 4.2299210E-004, 0.0000000E+000, 0.0000000E+000, 3.0882620E-004, 5.7051667E+001, 3.0882620E-004, 3.0144958E-001
 6.3016506E+001, 5.7353769E+001, 4.3680614E+001, 1.3167101E+001, 9.3029045E-002, 4.1210193E-001, 1.9583537E-004, 4.3083782E-004, 0.0000000E+000, 0.0000000E+000, 2.9640716E-004, 5.7046432E+001, 2.9640716E-004, 3.0704091E-001
 6.4009148E+001, 5.7354112E+001, 4.3680614E+001, 1.3165947E+001, 9.4058254E-002, 4.1255717E-001, 1.9924319E-004, 4.3833502E-004, 0.0000000E+000, 0.0000000E+000, 2.9792075E-004, 5.7041430E+001, 2.9792075E-004, 3.1238387E-001
 6.5017258E+001, 5.7354456E+001, 4.3680614E+001, 1.3164738E+001, 9.5135412E-002, 4.1303362E-001, 2.0280977E-004, 4.4618150E-004, 0.0000000E+000, 0.0000000E+000, 2.8513285E-004, 5.7036195E+001, 2.8513285E-004, 3.1797574E-001
 6.6014992E+001, 5.7354801E+001, 4.3680614E+001, 1.3163701E+001, 9.6060057E-002, 4.1344260E-001, 2.0587137E-004, 4.5291702E-004, 0.0000000E+000, 0.0000000E+000, 3.2468573E-004, 5.7031701E+001, 3.2468573E-004, 3.2277587E-001
 6.7014420E+001, 5.7355146E+001, 4.3680614E+001, 1.3162555E+001, 9.7081558E-002, 4.1389443E-001, 2.0925367E-004, 4.6035807E-004, 0.0000000E+000, 0.0000000E+000, 3.3172268E-004, 5.7026736E+001, 3.3172268E-004, 3.2807881E-001
 6.8002831E+001, 5.7355492E+001, 4.3680614E+001, 1.3161343E+001, 9.8161671E-002, 4.1437219E-001, 2.1283003E-004, 4.6822608E-004, 0.0000000E+000, 0.0000000E+000, 3.1973013E-004, 5.7021486E+001, 3.1973013E-004, 3.3368603E-001
