s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 2.0000836E+002, 2.1190364E+001, 0.0000000E+000,-1.0311808E+001, 1.7148617E-005,-1.0778181E+001, 0.0000000E+000, 5.2518815E-002, 0.0000000E+000,-8.3167312E-002, 1.5291053E-001, 0.0000000E+000, 5.4751616E-004, 0.0000000E+000, 9.4831710E+003
 2.0100983E+002, 3.1630288E+001, 0.0000000E+000,-1.3713502E+001, 6.2561560E-005,-1.0613302E+001, 0.0000000E+000, 2.8481393E+000, 0.0000000E+000, 9.8084192E+000, 1.0151685E+001, 0.0000000E+000, 5.5201883E-004, 0.0000000E+000, 9.5417101E+003
 2.0201587E+002, 3.0412524E+001, 0.0000000E+000,-1.3137439E+001, 5.6931756E-005,-1.0698471E+001, 0.0000000E+000, 2.7755430E+000, 0.0000000E+000, 9.6561389E+000, 9.3522147E+000, 0.0000000E+000, 5.5594437E-004, 0.0000000E+000, 9.6011566E+003
 2.0301871E+002, 1.8067846E+001, 0.0000000E+000,-8.8548322E+000, 2.3068156E-005,-1.0898798E+001, 0.0000000E+000,-5.0602904E-001, 0.0000000E+000,-1.9952905E+000,-2.1917898E+000, 0.0000000E+000, 5.6049037E-004, 0.0000000E+000, 9.5910456E+003
 2.0400319E+002, 1.8309882E+001, 0.0000000E+000,-9.3747485E+000, 6.6791591E-006,-1.0886519E+001, 0.0000000E+000,-6.5718783E-001, 0.0000000E+000,-2.3970194E+000,-2.6085658E+000, 0.0000000E+000, 5.6554307E-004, 0.0000000E+000, 9.5780586E+003
 2.0500597E+002, 1.9019381E+001, 0.0000000E+000,-9.5818664E+000,-5.3558427E-006,-1.0778642E+001, 0.0000000E+000,-5.6765801E-001, 0.0000000E+000,-2.3110533E+000,-1.9087911E+000, 0.0000000E+000, 5.6997726E-004, 0.0000000E+000, 9.5646160E+003
 2.0600323E+002, 3.3388766E+001, 0.0000000E+000,-1.4384258E+001,-1.7705108E-005,-1.0775519E+001, 0.0000000E+000, 3.3868908E+000, 0.0000000E+000, 1.1781545E+001, 1.1615861E+001, 0.0000000E+000, 5.7384549E-004, 0.0000000E+000, 9.6358086E+003
 2.0701544E+002, 3.1231882E+001, 0.0000000E+000,-1.2862168E+001, 1.2237604E-006,-1.1040107E+001, 0.0000000E+000, 2.9386521E+000, 0.0000000E+000, 1.0080746E+001, 1.0268260E+001, 0.0000000E+000, 5.7679212E-004, 0.0000000E+000, 9.6974067E+003
 2.0801984E+002, 3.0017399E+001, 0.0000000E+000,-1.2605494E+001, 2.9933314E-005,-1.1142021E+001, 0.0000000E+000, 2.6286932E+000, 0.0000000E+000, 9.0782766E+000, 8.8986069E+000, 0.0000000E+000, 5.7884780E-004, 0.0000000E+000, 9.7532533E+003
 2.0901782E+002, 2.5676932E+001, 0.0000000E+000,-1.1071737E+001, 2.5205360E-005,-1.1295711E+001, 0.0000000E+000, 1.4843146E+000, 0.0000000E+000, 5.1082502E+000, 4.7938244E+000, 0.0000000E+000, 5.7816836E-004, 0.0000000E+000, 9.7852605E+003
 2.1000334E+002, 2.6451516E+001, 0.0000000E+000,-1.2340980E+001, 2.3994942E-005,-1.1361287E+001, 0.0000000E+000, 1.0501385E+000, 0.0000000E+000, 3.4175406E+000, 3.7994114E+000, 0.0000000E+000, 5.7505964E-004, 0.0000000E+000, 9.8055390E+003
 2.1100732E+002, 2.6726982E+001, 0.0000000E+000,-1.1450021E+001, 5.2266937E-005,-1.1351224E+001, 0.0000000E+000, 1.7348389E+000, 0.0000000E+000, 5.9303438E+000, 5.6606277E+000, 0.0000000E+000, 5.7162078E-004, 0.0000000E+000, 9.8429246E+003
 2.1200615E+002, 2.8102875E+001, 0.0000000E+000,-1.2371825E+001, 2.3005512E-005,-1.1404197E+001, 0.0000000E+000, 1.8010292E+000, 0.0000000E+000, 6.1177225E+000, 6.1279057E+000, 0.0000000E+000, 5.6784065E-004, 0.0000000E+000, 9.8804823E+003
